PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
-1.5613000591689732,-2.075091166145882,1.530979531678988,5.361756346961575,-2.218591893858267,-2.291612680894009,-1.173342251471513,0.9662939267107633,0.6310237502951217,-0.49361035753981775,-0.5584415581811696,-1.2391927524449113,1.0154367598648295,1.0723889511287055,-1.8297355212577675,-0.2668762095511146,0.33483577645672574,0.06324894427449676,9.81571012086347e-16,-6.010852339152044e-16,-1.5242943112497343e-15,-1.6166984852309756e-15
-3.0673046322792263,-1.9232601715790714,-0.7505079515433244,-1.2169003918623547,0.7582526833608334,-0.5178561714669603,-0.7691760296143716,0.5736550642787251,0.7788624241837756,-0.3440916194884328,1.0088447930311222,0.037640098995229014,-0.5645503240869696,0.11299007657064324,2.0630771873786227,0.6225102795974677,-0.1890120236660546,-1.1617840893821636,1.489037436174797e-16,8.422046980974991e-16,1.7053052477960615e-16,3.046238218194682e-15
-3.749194441172498,-0.046765137243029026,0.41914049160130956,-0.9928440507711077,-0.04962691791934642,0.6076608803397177,0.07476483245257107,0.133775183986817,-0.09533374717974612,0.10331253501692601,1.3672185452111902,0.3086999475324449,-0.1879068846749204,0.1331513260560201,0.2886369934626789,-0.4285570287181943,0.7090297726120939,0.5594021551285453,1.9068188263134426e-16,9.814748626837946e-19,7.635995962230211e-16,-6.450573666398887e-16
1.4731695397409614,0.8128344246497033,-0.5508595136030069,3.258518864361203,-1.1317925714180395,-0.785902144762055,3.2439571163886756,-0.9828392566035565,-0.7629304096565872,-1.2820314150418097,0.511585762305312,-1.2616790156562356,1.1202660911943703,-0.5753231754830223,1.1819470403953614,0.8233588681340857,0.10686135439410512,-0.16656121084720818,6.207485290831713e-16,1.2307827567163041e-15,3.734931714688926e-16,2.706806566317905e-16
2.6358360615488525,-1.3002944339220286,0.824298282781441,-0.7939616776419126,-1.3449057991545417,-0.9529692339619672,0.04772098702629664,-0.8214557731015505,-1.0850537309268615,-0.34797552675872273,0.11741307443973348,0.5430228695829621,-0.46423527111455587,-0.9944331532610557,0.193442027058829,-1.3348949818828026,-0.7517339320969831,0.8829327558463205,-2.3490980617891225e-15,-4.900629314526887e-16,1.2668757615969483e-15,-6.174977630683347e-16
2.928913650273201,0.979428221797847,0.4725010163805364,-0.2667396915671105,-0.16787299412911533,-1.1580507750430327,-0.973783081576457,-0.535026328085964,-0.866920333019972,-0.1646289184219493,0.7672775052996567,0.07487763129371523,-0.10535343449407897,0.4200012046387925,0.5473515057944548,0.557532526760982,0.5156212676930334,0.9215150151282222,-5.172300711576141e-16,-1.1006855949965246e-15,1.377898064059464e-15,-1.0615869729183973e-15
-1.3647934912854678,-2.404881401479694,-0.31553262185409864,1.1546125905819393,0.2235887585303333,-2.623463465477593,2.257137818334169,-0.8066524333381092,-0.12098949123718288,-1.4276298471525202,1.8411659427995437,-1.0428639241355595,0.539382274286241,-1.583843312524275,-0.311356945616302,0.09790946191347749,0.5301973072970313,-0.20932466399361535,-2.67429890616954e-16,1.2307827567163041e-15,-2.0689974827064516e-15,4.927252615568218e-16
1.1121048516076484,0.2847999759360381,-0.7467310320470247,-1.8670906160617369,1.5473912064025994,-1.4569029357770042,0.8125055845184215,-0.4355111143637183,1.211994463013419,-0.4872306405252617,-1.0973273065702926,-0.9108005543674269,1.0260209488144374,1.134854653732187,-0.021921938996984337,-0.363836384227635,0.5685126349087207,0.4876141005600467,9.260598608550893e-16,-1.7668194097716185e-15,1.9330095763720424e-15,-1.1170981241496552e-15
-2.3632536330291347,-0.36887234481685766,0.6891128165630671,-0.7450486289988203,-0.19109647311224337,0.9718737665939092,-0.24349628619330244,-0.4226349973547223,-0.4548202094138516,0.47807080114904577,0.5273439393702146,-0.23251980536519035,-0.18000622268462813,-0.7101803799916778,-0.863648156403682,0.951543623666096,0.43426526759381806,0.1950619266600315,-4.754519321437496e-16,7.781375921002933e-16,-1.9009356628773544e-15,-4.230127617148575e-16
-2.72297240924811,-0.23779320405686624,2.2577661258749355,2.3472997498219725,-0.5516111626496814,-1.33052419103179,2.549674690001087,0.001428816451432977,-0.40814432325168626,-2.2820681667955203,-0.5639800942502481,1.2439899986845655,0.018346428236385628,0.020192803928855845,-0.6516630135595788,0.1306263125436403,0.6174395882137044,0.3646196842270765,8.290601217908093e-16,2.230260797877151e-16,6.352300590007373e-16,-2.4214142060401392e-15
-1.0082443203717082,1.6331224318275928,-0.9291962025705416,0.6267722211062323,-1.822342092055459,-1.0059490561911524,-1.9043482004317678,2.1577527167608297,0.034368135593590254,0.6641710727819707,-1.502913462159554,-2.046305362764122,-0.5143430661073093,-0.8342488075532999,-0.8381696994229297,0.7404704560285076,0.5395874130871801,0.07739319265927122,8.427931340082026e-16,-2.1553974683904235e-15,-1.617969378952482e-15,4.8636051706759205e-17
0.6625605342235088,-2.156246781037596,-1.0384812336215767,-0.9125636942467968,-1.0003193214427368,-0.30533413119123654,-1.2073033782282614,-1.7962575595458086,-1.5778378109025322,-0.9159254368052695,-0.1519324272286634,-0.03449858666279568,-0.4109339990050168,-0.20072378058337206,0.05787674933096378,-0.09196635697160856,-0.20508962296888952,0.417337982295599,-1.6829642470140286e-15,-6.565963851464622e-16,-5.151408014542513e-17,-7.840312167621082e-16
-1.669680522911701,-1.2247839448791376,-0.2943784527172339,1.6401891651573288,-1.2578205452658326,1.0661991893365204,-1.3966556669476295,3.5961707295636685,-1.192875438283503,-0.4484185157265109,-1.955555964048134,-0.691388858034388,0.8383244026098143,1.2262947023745698,0.36846396852897556,-1.0509263062368872,0.5206161379902579,0.029620195568843793,2.619149973408453e-15,-1.8223305610028766e-15,7.134989727603468e-16,-9.505646704558817e-16
2.066524609273966,2.230009009713521,1.8614808739165487,-0.3361869979841511,0.12964094488612865,-0.1433557122973278,-0.8078704376792883,-1.1692778099464367,-1.8263816211396455,0.2889622217092461,-0.2176493481324605,-0.10959816575369827,0.17177330845267427,0.35876992522998535,-0.36907523929605834,-0.23138856414975126,-0.21975359635147226,0.01121289939544208,-2.5340732721871833e-16,-2.210631300623475e-16,-4.715235186724656e-16,-1.533235786340014e-15
1.0538505909019757,1.1525874381509114,1.260964734245221,2.721253475755525,2.052361326761595,1.2323946491622892,-0.24714233167989919,0.7839997789897731,-0.2338650806273999,-0.061432522851385216,-1.839148299736571,1.0348188130161944,-1.0932481076343905,-0.6726747543840633,0.008163363890273976,0.3943881274507077,-0.590773179276111,0.19205630236126378,-1.9789617598746053e-16,8.89159894562809e-16,1.5268779256528162e-15,2.107644813520516e-17
2.346279445709746,0.6701313577204205,-0.361301368387407,1.628990405530285,0.5039872449260525,0.29998945868050547,0.5592288959007892,0.5871993610708666,0.6187524144494839,0.598927630172269,0.2271037155925799,-0.17245575249853112,-1.3734345407489004,-0.6698541151884834,1.2247804862063665,0.6011996389717099,0.3386528497517211,0.9314044029195571,-6.282523736201298e-16,-3.235294777589152e-16,2.9322102985346833e-15,5.482364127880796e-16
0.7386591697434762,2.2439789756530515,1.2692822589109471,1.781430596126723,-1.0960883291516432,-1.449406499849004,0.8999748568291209,-1.7806931536186357,-2.5518619295155704,-1.3843069760923057,1.108681737417845,-0.3234145470599801,0.1649929756608057,0.47155395945469275,-1.2388489324928769,0.10088515695674136,0.8382212523765034,-1.0070515155868969,1.2731493316408718e-15,9.814748626837946e-19,-3.361572829649826e-15,-2.532436508502655e-15
1.327032470999516,0.9213599039801165,0.17845252451530597,-0.37474568702392935,0.4880573703691777,-1.1811054189824357,0.34305762794615574,0.21474192542145207,1.2145522243402753,0.2593065196635778,-0.10540555256145107,-0.3929313008181007,-0.2558178542713455,-0.5000933499366131,0.32080806591394845,1.4972950009669697,-0.2520464608231188,0.6463716088386464,-9.05808129776419e-16,9.537429628631795e-18,1.044831156671917e-15,1.0478367738694e-15
2.6904893126694867,0.16669835914510375,-1.491057027917051,0.1654757953790963,1.0612356904613565,0.3337743598259389,0.7954253307964912,0.18883829932125137,0.3306651499556231,0.11235407767465552,-0.3716776474003487,-0.6995279943226854,-0.2273698810282629,0.4069400452177869,-0.28508085736466643,-0.5644037608086377,-1.1018006223643249,-0.3009710048140051,-4.617189199263563e-16,2.3158203455366313e-16,3.78697341896823e-16,9.923256226381423e-16
2.9401210934644677,0.8944484759954422,0.5516631020885465,-0.33277118398412675,-0.09512393960298951,-1.1724323049835759,-0.9280012110552642,-0.7578377412425606,-0.9339022787065734,-0.2177220299051101,0.18989102937503882,-0.10885078751186195,0.026536284782487176,0.42168282259499945,0.8470078530688224,0.634395218659371,-0.2241925899201386,0.3960221825098247,-7.947858273139033e-16,-5.4557408268394655e-16,1.1558534591344326e-15,-1.734085532182721e-16
-0.8585724099535864,-1.3305898546326766,-0.28772701195822525,0.6032959643051545,-2.518408805207898,0.6111737767349249,-0.9380340294575591,-1.1690014861722626,2.4276666554747233,0.4462053873654441,1.175037654998866,0.7972360917779756,0.39145306325741147,1.995581940130976,0.3454168514759357,-0.5671815730975915,1.0695655999718616,0.6506111532624101,2.5992604607999533e-16,-1.0451744437652668e-15,2.0579096666423725e-15,-1.4501650315372021e-15
1.341637823087862,-3.1115661118298203,0.9448824444570137,1.7564498941506086,0.4609335098771477,-0.3992081121255133,-1.3358717095505288,-0.9652126825175086,2.3741662381341824,-0.04850034791438394,-0.9405538277174482,1.1078145722311024,1.106593186547721,0.4173925191127437,-1.0343482725183293,-0.6772889463270574,-0.6770405072979447,0.6962915209429231,-1.3498973396264816e-15,6.756712444037256e-16,1.044831156671917e-15,-5.064754606058191e-16
